------------------------------------------------------------
Starting time:  19-Apr-2018   15:50:52
Serial: 0x49467b0c (ID: 0x007b4649)
Current Status: AUX1 AUX3
------------------------------------------------------------
timestamp	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	Status/control	Status 2
1524124347.39	112	4	15	15	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124348.35	112	4	14	14	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124349.37	112	4	14	14	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124350.38	112	4	14	14	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124351.35	112	4	14	14	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124352.36	112	4	16	16	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124353.37	112	4	16	16	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124354.39	112	4	17	17	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124355.35	112	4	17	17	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124356.37	112	4	19	19	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124357.38	112	4	19	19	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124358.35	112	4	21	21	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124359.36	112	4	21	21	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124360.37	112	4	21	21	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124361.39	112	4	21	21	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124362.35	112	4	23	23	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124363.37	112	4	23	23	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124364.38	112	4	25	25	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124365.35	112	4	25	25	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124366.36	112	4	29	29	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124367.37	112	4	29	29	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124368.39	112	4	30	30	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124369.35	112	4	30	30	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124370.37	112	4	31	31	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124371.38	112	4	31	31	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124372.35	112	4	33	33	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124373.36	112	4	33	33	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124374.37	112	4	34	34	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124375.39	112	4	34	34	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124376.35	112	4	35	35	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124377.37	112	4	35	35	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124378.38	112	4	36	36	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124379.35	112	4	36	36	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124380.36	112	4	40	40	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124381.37	112	4	40	40	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124382.39	112	4	42	42	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124383.35	112	4	42	42	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124384.37	112	4	42	42	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124385.38	112	4	42	42	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124386.35	112	4	43	43	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124387.36	112	4	43	43	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124388.37	112	4	45	45	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124389.39	112	4	45	45	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124390.35	112	4	48	48	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124391.37	112	4	48	48	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124392.38	112	4	47	47	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124393.35	112	4	47	47	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124394.36	112	4	50	50	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124395.37	112	4	50	50	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124396.39	112	4	50	50	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124397.36	112	4	50	50	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
1524124398.37	112	4	51	51	-1	-1	-1	-1	-1	-1	-1	-1	0x00000a00	0x00000000
